DATE,COLIFORMES_TERMOTOLERANTES
2019-01-01,-52572.80781566034
2019-02-01,-212524.06468740682
2019-03-01,249165.39723707933
2019-04-01,-86824.03516856888
2019-05-01,-170827.5871357701
2019-06-01,338672.4640019665
2019-07-01,84413.18731125869
2019-08-01,-304815.8920436742
2019-09-01,-226574.0942418461
2019-10-01,388709.0556943843
2019-11-01,-32089.0209199041
2019-12-01,-201311.17532940482
