DATE,ARIMA,ETS,PROPHET
2019-01-01,-7088.333112370077,10975.32062233092,-52572.807815660344
2019-02-01,1291.5616922980914,2616.818527541473,-212524.0646874068
2019-03-01,83713.11004417474,9637.092139196064,249165.3972370793
2019-04-01,67125.75472283168,4345.517964531201,-86824.03516856888
2019-05-01,-10365.17736700282,3627.057650458184,-170827.5871357701
2019-06-01,156323.8125879255,13338.541551081391,338672.46400196647
2019-07-01,59776.826018227956,23788.014319020527,84413.18731125869
2019-08-01,-25308.007754090577,2161.1698217278413,-304815.8920436742
2019-09-01,-58474.00252482238,1416.544613971846,-226574.0942418461
2019-10-01,128090.8465058819,10425.779021308896,388709.0556943843
2019-11-01,-11731.555926367888,2065.1445270037975,-32089.020919904102
2019-12-01,-18333.10374552345,2983.094860528026,-201311.1753294048
