DATE,ARIMA,ETS,PROPHET
2019-01-01,6.979121346856513,10.304871462892457,25.753730297744468
2019-02-01,11.2409767618688,10.486597496300806,15.903329727580696
2019-03-01,45.984751182898385,26.49384444829324,35.735860679969704
2019-04-01,45.40477407643712,25.47064259510678,46.4388359385285
2019-05-01,58.40449588358885,31.846974061086502,45.68580709135392
2019-06-01,44.957853265779626,23.146807007305778,48.23373659148506
2019-07-01,25.84143677737196,15.940723412330346,30.131330036096326
2019-08-01,43.51726133675888,23.516253001013556,45.399661365951864
2019-09-01,43.44827933650773,21.58024451300709,43.93670037126073
2019-10-01,32.64133097119036,19.113966602285732,38.40238306185533
2019-11-01,37.13358370169683,19.869716994544124,38.88409329532271
2019-12-01,28.920625717379018,12.565688188733976,23.865715807037034
