DATE,ARIMA,ETS,PROPHET
2019-01-01,91.55957027192251,69.98873633083316,83.93238073717765
2019-02-01,54.20455113359965,50.372623374350866,26.30993817107057
2019-03-01,123.35144515095655,84.26502930835608,88.8109758490217
2019-04-01,164.68653974811545,103.61162326959776,191.14003848471825
2019-05-01,185.0337442091008,119.2307066118618,206.03741215549357
2019-06-01,194.247750347492,114.73192514741885,203.86668975806992
2019-07-01,140.73397040589694,87.97902777535525,62.205384765082385
2019-08-01,146.11432277944382,88.41476047433336,71.96386907881013
2019-09-01,176.89950950380342,105.7900450565715,170.062802192312
2019-10-01,187.78266495637752,120.57562711749344,253.39787901238716
2019-11-01,112.53912171180636,65.34501178055791,90.60008589646496
2019-12-01,139.88300174571017,84.34246029949307,133.6928217514513
