DATE,ARIMA,ETS,PROPHET
2019-01-01,18.315091634754697,25.215785715056125,5.5813700014120124
2019-02-01,12.752448386783954,21.803405839199108,3.786966850433785
2019-03-01,18.32085978661445,21.025597344661282,12.327185048701233
2019-04-01,23.06190322342267,36.83194052699882,35.683308051119845
2019-05-01,16.130190701770662,33.30289945546008,33.451347611010235
2019-06-01,21.180483008545337,38.78149070172231,44.67504532879563
2019-07-01,20.523591605600025,30.68626363396815,20.215909006371177
2019-08-01,11.82612201696964,21.874354209053205,0.9996892838508112
2019-09-01,14.93838040559489,23.97664057629905,14.12116498017648
2019-10-01,18.413294732866053,30.287087605234298,15.528692293418938
2019-11-01,29.242226418540834,26.706051273239698,8.391901662252451
2019-12-01,21.03379807328632,27.27506739481245,7.690811313100996
