DATE,ARIMA,ETS,PROPHET
2019-01-01,6.647508965500048,6.746115005864296,6.575155909108787
2019-02-01,6.842092113612082,6.970196035183879,6.791802720759919
2019-03-01,6.8708223687099865,7.106836447473237,6.8095796551970755
2019-04-01,6.771837796569812,6.977766533511363,6.876690705191858
2019-05-01,6.896787899970024,7.1139216461841634,6.994102735016029
2019-06-01,6.914611253133758,7.1619419705707665,7.047897398508577
2019-07-01,6.830992667143725,7.004710150619585,6.834079593466527
2019-08-01,6.7982109507313835,6.971329921868621,6.823051146646045
2019-09-01,6.793430362100847,7.006203123074188,6.777525182784878
2019-10-01,6.691771942916851,6.9249383665437225,6.69114476469
2019-11-01,6.711547967412223,6.959395810223517,6.801121411236098
2019-12-01,6.905136419427612,6.989816239169781,7.052999444945213
