DATE,ARIMA,ETS,PROPHET
2019-01-01,494759.7764811286,1713385.579156656,3239966.7432135763
2019-02-01,33382.43403496405,1713385.579156656,-5359972.274514444
2019-03-01,552366.3578076393,1713385.579156656,3481670.1657057237
2019-04-01,194451.87495865207,1713385.579156656,3800915.6259831656
2019-05-01,42836.662145118324,1713385.579156656,-4895701.846341914
2019-06-01,763916.1278514316,1713385.579156656,2755805.9887186047
2019-07-01,55232.16823344903,1713385.579156656,-1800436.5096127558
2019-08-01,111619.6743214849,1713385.579156656,-2984424.2973295883
2019-09-01,592233.6510705746,1713385.579156656,-609290.895343001
2019-10-01,355289.91946628713,1713385.579156656,5779148.038168888
2019-11-01,336551.6160565471,1713385.579156656,4743077.098653899
2019-12-01,129347.77000540034,1713385.579156656,-45875.23743918992
