DATE,ARIMA,ETS,PROPHET
2019-01-01,46.282293438375035,15.674234402035315,40.69692362737069
2019-02-01,57.129699636385965,36.439910166759326,66.42062391997659
2019-03-01,75.08455279853302,21.08161408310564,78.35145443781624
2019-04-01,67.0289802688276,25.37186874815534,58.794243314650146
2019-05-01,79.41191649571122,34.77688831937165,79.12217489801164
2019-06-01,95.57702938030323,34.39126121655841,72.63544073809837
2019-07-01,77.98361573231979,37.03936562825015,79.53786369662122
2019-08-01,76.1439624595838,23.55285315881679,55.53909268866622
2019-09-01,98.34595545838366,33.88993986627677,111.80858956054192
2019-10-01,70.7952520764823,22.758520590063423,73.86556345623416
2019-11-01,83.28659225502481,28.068573807475424,59.28949568310514
2019-12-01,37.795467765241725,15.581470538082314,47.360339386015326
