DATE,ARIMA,ETS,PROPHET
2019-01-01,3.2166745339801768,2.997066109545837,3.5638503139108746
2019-02-01,3.6256574487881057,3.7146207647995313,3.7352287496367382
2019-03-01,6.877070837339001,7.29083707050533,6.663566589007893
2019-04-01,6.348682154242599,6.963482616343571,6.4964779292561605
2019-05-01,7.310441793869514,7.221279195081143,7.1972502896453525
2019-06-01,5.04553688598467,5.655724419633932,3.925072871421668
2019-07-01,4.271503486784933,4.131169752014795,5.31754253032341
2019-08-01,4.898775366389018,5.311848388148818,6.4782012295758875
2019-09-01,6.302655145907179,5.476689410118163,6.146195112713472
2019-10-01,5.632397022532752,5.345060643006633,4.648172062689594
2019-11-01,5.430468982626021,5.586263190909915,5.1727286510373345
2019-12-01,5.233229897481252,5.28504021381268,6.319257644472063
