DATE,ARIMA,ETS,PROPHET
2019-01-01,10.160853535595855,11.331992571698072,13.62996852159693
2019-02-01,10.647634823042496,11.331992571698072,12.805854837337186
2019-03-01,10.798804356477936,11.331992571698072,14.422134548634801
2019-04-01,10.680231222331264,11.331992571698072,10.999571692908509
2019-05-01,10.749509127360435,11.331992571698072,11.782453930197498
2019-06-01,10.245544425001222,11.331992571698072,10.262094693757273
2019-07-01,11.069085780430376,11.331992571698072,12.102235961690491
2019-08-01,11.373225784599777,11.331992571698072,16.5857397375106
2019-09-01,12.850126011699293,11.331992571698072,13.766480740992465
2019-10-01,10.062104154994518,11.331992571698072,12.457345765924304
2019-11-01,12.06516149621464,11.331992571698072,11.820427562231135
2019-12-01,11.148027824514825,11.331992571698072,13.333287475765662
