DATE,DQO,COLIFORMES_TERMOTOLERANTES,FÓSFORO,NITROGÊNIO,DBO,PH,SURFACTANTES,SÓLIDOS,ÓLEOS,COR_VERDADEIRA
2012-12-31,60.098243243243246,438857.1884840178,4.62443299086758,34.47644285714286,31.1918961352657,7.3919999999999995,0.5076739130434782,14.403913043478257,12.271838235294117,70.544609375
2013-01-31,9.3,29090.0,3.1,12.5625,29.03360858387305,6.9,0.21,14.329625311885202,10.905885260616955,88.0
2013-02-28,116.2,27495.0,2.6,14.425,34.0,6.800000000000001,0.31,13.3,10.0,74.0
2013-03-31,6.7,36400.0,5.9,42.675,16.225,7.85,0.37,16.7,14.599999999999998,36.48500900627036
2013-04-30,41.1,92080.0,6.922113172787306,33.9,19.0,7.2,0.10135588455756665,16.865,10.084459941575766,290.0
2013-05-31,38.65,50670.0,3.72,50.275,16.5,7.1,0.49,2.625,10.0,182.0
2013-06-30,83.9,98500.0,6.01,42.5,20.0,7.3,0.37,11.7,10.0,353.0
2013-07-31,150.975,123695.0,2.3855,29.8,36.0,7.4,0.5504999999999999,16.5,10.0,109.0
2013-08-31,12.8,119800.0,3.0,39.35,65.56999999999995,7.5,0.28,14.1,11.4,52.97
2013-09-30,96.5,261300.0,3.2,34.575,28.0,7.6,0.15,7.7,13.1,97.125
2013-10-31,24.0,261300.0,5.1,34.325,40.6,7.8,0.14,11.5,12.2,100.225
2013-11-30,6.7,36400.0,5.9,42.675,16.225,7.85,0.37,16.7,14.599999999999998,36.485
2013-12-31,34.1,67000.0,2.9,20.2,24.0,7.7,0.11800000000000001,2.9,10.0,975.1
2014-01-31,20.5,67000.0,2.5,14.75,21.5,7.6,0.11,10.0,16.75,73.2
2014-02-28,74.6,77010.0,1.3250000000000002,13.7,20.0,7.5,0.14,15.85,10.0,30.0
2014-03-31,23.35,198630.0,1.59,20.325000000000006,12.36,7.4,0.1,9.3,10.0,26.0
2014-04-30,20.8,13419.5,2.4,24.625000000000004,22.0,7.6,0.1,4.0,10.0,40.0
2014-05-31,78.5,174893.33333333337,6.6000000000000005,49.325,31.16666666666667,7.9,0.16,3.5,15.5,70.0
2014-06-30,46.125,1856128.7499999977,2.8575,44.9,21.075,8.0,0.1,5.7,10.0,36.485259199090436
2014-07-31,40.46785714285714,409998.3214285711,3.948214285714286,30.98,26.13357142857143,7.642857142857143,0.1,5.121428571428571,10.471428571428572,33.0
2014-08-31,219.65,49451.41016211058,7.22,65.30000000000001,29.0,8.05,0.15,12.5,10.0,44.65352813642855
2014-09-30,46.1,24810.0,4.9,34.96,35.0,7.8,0.1,4.2,10.0,36.500595615264864
2014-10-31,61.6,73000.0,4.6,43.56666666666667,53.5,7.7,0.1,4.8,10.0,37.07939314267599
2014-11-30,48.1,663000.0,4.65,37.4,22.5,7.5,0.1,4.5,10.0,36.48518649401383
2014-12-31,37.2,41000.0,6.64,11.083333333333332,16.5,7.5,0.1,3.35,13.3,36.57139833161484
2015-01-31,20.45,624000.0,1.9649999999999999,9.1,3.6625,7.4,0.1,4.8,10.0,22.75
2015-02-28,19.8,12100.0,4.1,7.885,4.0,7.5,0.1,6.6,10.0,30.0
2015-03-31,82.3,624000.0,6.802499999999999,16.95,43.0,7.0,0.6,18.049999999999994,11.4,35.0
2015-04-30,61.6,111990.0,6.15,30.76666666666667,40.0,7.1,0.845,5.9,10.2,50.0
2015-05-31,50.6,11870.0,6.0,14.224999999999998,32.0,7.6,0.16,3.495,10.0,50.0
2015-06-30,83.605,111990.0,3.0,14.325,61.44999999999999,7.1,0.67,7.9,10.0,50.0
2015-07-31,51.65,461100.0,4.7700000000000005,20.983333333333334,52.0,6.9,0.8,10.3,11.5,45.0
2015-08-31,44.1,11870.0,4.4,17.25,11.0,7.8,0.1,6.0,13.895,25.0
2015-09-30,69.6,24300.0,5.3,39.98,31.5,7.7,0.1,10.5,13.4,30.0
2015-10-31,58.0,1236000.0,3.655,42.12,25.25,6.9,0.42,9.4,8.335,50.0
2015-11-30,20.2,12740.0,4.2,42.291,20.0,7.8,0.1,14.0,10.0,35.0
2015-12-31,16.875,22639799.999999966,5.1,23.96666666666667,14.5,7.3,0.8,6.0,10.0,30.0
2016-01-31,30.96666666666667,33000.0,3.5733333333333333,16.225,11.633333333333333,7.8,0.1,2.1550000000000002,10.0,50.0
2016-02-29,38.6,53699.99999999997,2.492,13.502500000000001,16.0,7.7,0.1,7.8,10.4,40.0
2016-03-31,34.6,1.8,6.4,35.28,20.0,7.7,0.1,5.8,10.0,40.0
2016-04-30,49.66666666666666,1.8,6.34,47.94,18.33333333333333,7.3,0.11,12.9,10.2,70.0
2016-05-31,75.7,1.476,7.7,77.725,44.0,7.3,2.03,10.1,12.8,70.0
2016-06-30,132.68,3500.0,8.374999999999998,81.36999999999998,35.5,8.07,0.1,16.6,10.0,70.0
2016-07-31,86.85,490.0,3.14,29.279999999999994,32.25,7.4,2.1964999999999995,12.1,10.0,70.0
2016-08-31,84.3,230.0,3.4,35.8,47.599999999999994,6.5,0.17,10.5,10.0,70.0
2016-09-30,65.1,270.0,6.5,36.775,26.0,7.4,0.14,10.7,18.2,50.0
2016-10-31,86.95,220.0,6.875,44.85,37.25,7.6,0.1,18.0,31.569999999999997,100.0
2016-11-30,131.6,170.0,4.8,33.22000000000001,33.0,7.2,0.1,28.844999999999985,30.4,100.0
2016-12-31,23.33166666666667,1100.0,5.6,20.633333333333336,10.898333333333333,6.32,0.1,2.2,19.1,50.0
2017-01-31,87.7,23000.0,2.675,10.2425,50.4,7.2,0.1,5.7,10.0,40.0
2017-02-28,123.0,46000.0,4.5,11.3,10.55,7.4,0.1,4.755000000000001,17.749999999999996,30.0
2017-03-31,53.9,47900.0,8.495,47.94,18.0,7.5,1.25,26.7,10.4,50.0
2017-04-30,42.0,40000.0,6.4686666666666675,31.53333333333333,21.66666666666667,7.050000000000002,0.11,66.5,15.0,50.0
2017-05-31,85.0,47000.0,8.0,50.74,67.0,6.8,1.7354999999999996,9.8,9.91,30.0
2017-06-30,34.35,22000.0,2.64125,28.525,11.0,7.7,0.37,13.5,12.0,30.0
2017-07-31,67.9,28000.0,3.9739999999999998,24.3,33.5,7.6,0.1,27.8,14.7,30.0
2017-08-31,114.2,17000.0,4.4,53.14,80.04999999999998,6.8,1.44,24.5,10.0,20.0
2017-09-30,182.5799999999999,14000.0,7.7,53.662,46.0,7.9,0.1,18.8,10.0,50.0
2017-10-31,45.6,17000.0,5.0950000000000015,40.15,29.0,7.9,0.11,16.9,15.5,15.5
2017-11-30,99.6,12650.0,5.3,44.94,13.5,7.5,0.12,163.78999999999985,15.2,50.0
2017-12-31,59.6,14000.0,3.47,49.13333333333333,51.0,6.71,1.47,19.3,10.0,45.0
2018-01-31,16.8,54000.0,2.62,10.840500000000002,11.75,6.6,0.10550000000000001,8.8,17.1,20.0
2018-02-28,40.0,490.00000000000006,2.0260000000000002,19.575000000000006,50.0,6.6,0.12,13.1,10.0,10.0
2018-03-31,67.4,240000.0,6.833525,67.2,66.0,7.3,1.95,15.6,16.5,20.0
2018-04-30,60.8,289499.99999999994,6.6155,68.25,50.0,7.4,1.9,25.889999999999997,11.3,20.0
2018-05-31,83.7,110000.0,6.2,75.36500000000001,48.0,7.2,2.47,9.5,12.2,10.0
2018-06-30,51.5,288.1,5.8,73.47500000000002,72.74999999999999,7.9,2.5285,21.3,10.0,34.49999999999999
2018-07-31,69.9,70000.0,4.3325,26.075000000000006,15.75,7.9,0.19,23.1,10.0,30.0
2018-08-31,25.6,460.0,5.6,45.88,51.0,6.7,2.2,12.2,18.674999999999997,5.0
2018-09-30,57.8,9200.0,4.7,43.325,26.0,7.7,0.13,9.8,10.0,5.0
2018-10-31,23.5,9200.0,4.889333333333334,18.36,14.0,7.4,0.23,8.2,10.0,30.0
2018-11-30,84.825,3500.0,5.03,29.1,43.0,7.99,0.11,8.8,10.0,30.0
2018-12-31,15.99,33000.0,5.8,23.33333333333333,17.0,6.6,1.7,7.3,10.0,30.0
