DATE,COLIFORMES_TERMOTOLERANTES,DQO,FÓSFORO,NITROGÊNIO,DBO,PH,SURFACTANTES,SÓLIDOS,ÓLEOS,COR_VERDADEIRA
2012-01-31,1840034.9999999995,170.0,2.43,42.6224503193126,102.01896204046488,6.800005240322581,0.7301199568386965,74.50443843419504,23.700718893770194,823.9123494550759
2012-02-29,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-03-31,1011200.0,280.0,2.1265,42.53654674536274,103.06645356534764,6.800635935296017,0.7345019209486414,75.00954347454277,23.891507083907488,58.548068218000566
2012-04-30,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-05-31,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-06-30,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-07-31,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-08-31,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-09-30,292400.0,98.6,6.577999999999998,42.509466002880195,102.48056224762102,6.797228341757764,0.7388625742635696,74.36457351704,23.756553965224107,219.94058288268556
2012-10-31,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2012-11-30,139051.5,288.5,2.22,41.480057312817706,104.04888160485652,6.7972385318054656,0.7300302847927609,74.85039149076415,24.41920648340805,91.75009252777214
2012-12-31,5263116.9311111085,291.66749999999996,4.416729337899543,34.270709523809515,160.80509661835748,6.872642857142857,1.0780072463768116,92.56884057971013,30.58698529411764,241.25117187499998
2013-01-31,241960.0,70.5,1.315,13.6375,106.00550122406399,6.449999999999999,1.21,72.48368254251147,23.837943328312786,330.0
2013-02-28,613100.0,100.7,1.7,24.425,62.76,7.1,0.8125,31.17,13.64,151.5
2013-03-31,2419600.0,242.8,2.4,44.925,116.0,7.300000000000001,1.17,42.5,19.4,221.09498622276215
2013-04-30,241960.0,326.75,2.306945737790307,30.399999999999995,148.0,7.2,0.7842892077174193,44.1,23.941354200800816,1750.0
2013-05-31,1516380.0,214.44,4.0600000000000005,53.1875,102.8,6.9,1.8,133.3,19.1,6145.0
2013-06-30,2419600.0,249.3,5.071999999999998,52.725,132.0,7.1,3.1999999999999975,187.3099999999999,39.13999999999999,180.5
2013-07-31,2419600.0,424.825,3.09,36.925,195.0,6.9,2.1,85.5,21.1,407.5
2013-08-31,2419600.0,371.2,1.7,20.575,156.0,7.1,1.2,60.5,26.6,189.55
2013-09-30,2419600.0,406.4,2.7,25.725,260.0,7.0,1.3,48.5,28.4,180.95
2013-10-31,2419600.0,188.0,3.1,40.0,361.4749999999998,6.9,1.9,89.3,28.3,163.0
2013-11-30,241960.0,161.40404469193595,2.1880004637542743,42.14684122873459,102.08335900969557,6.794974094058542,0.7376744034861991,74.45775414965631,23.70222510933341,437.5
2013-12-31,12218979.999999985,207.4,3.7,31.2,172.0,6.8,0.95,114.3,27.2,295.975
2014-01-31,24196000.0,360.7,2.2,25.0,168.0,6.8,1.32,35.6,23.4,140.0
2014-02-28,613100.0,371.9,1.4300000000000002,25.3,90.0,6.9,0.8,37.2,19.9,120.0
2014-03-31,1553100.0,400.8,6.04,38.02500000000001,164.0,6.8,1.1,121.5,35.4,569.5999999999999
2014-04-30,24196000.0,260.4,2.9,40.6,156.0,7.2,0.65,206.4,70.19999999999999,100.0
2014-05-31,420308.3333333333,312.56666666666666,4.04,50.5625,291.0,6.9,0.98,202.5,66.8,100.0
2014-06-30,2931275.0,280.925,4.285,36.675,109.55,7.2,0.7321630050298058,166.3,42.9,425.3178619880624
2014-07-31,14136000.0,162.6005098415815,2.200010287690683,42.62495394169105,102.00031572820896,6.800000277864851,1.27,74.50009351731151,23.70002030166705,120.78369839567517
2014-08-31,9440588.759635894,162.6,2.2,42.625,102.0,6.8,0.73,74.5,23.7,472.08169868164214
2014-09-30,2419600.0,342.0,3.5,26.4,160.0,7.0,0.43000000000000005,123.3,27.1,234.4785347366181
2014-10-31,24196000.0,447.9,4.7,49.3,290.0,6.6,1.29,131.5,46.8,128.9779200861842
2014-11-30,19863000.0,222.5,2.6,31.16666666666667,104.0,7.0,1.4,70.7,18.15,125.01306583989303
2014-12-31,15531000.0,197.1,6.12,20.283333333333335,110.0,7.25,1.22,101.0,28.7,123.50309261042314
2015-01-31,24196000.0,181.1,2.67,11.5135,66.0,6.7,0.91,47.515,15.540000000000001,150.0
2015-02-28,111990.0,274.5,3.3,11.95,57.9,7.1,1.04,83.5,27.3,150.0
2015-03-31,12997000.0,339.4,8.839999999999998,17.7,147.0,6.9,0.67,108.5,36.3,54.25
2015-04-30,1986300.0,354.7,4.1,22.15,262.0,6.7,0.82,89.5,35.0,150.0
2015-05-31,111990.0,470.6,6.9,18.85,280.0,7.1,1.02,157.0,45.2,150.0
2015-06-30,12997000.0,425.9,4.7,31.925000000000004,331.0,6.9,1.12,101.0,25.5,100.0
2015-07-31,920800.0,260.5,6.785,15.3,126.0,7.0,1.45,532.0999999999995,171.9799999999998,90.0
2015-08-31,3255000.0,170.165,6.5,41.7,131.0,7.0,1.3,61.7,27.6,150.0
2015-09-30,6488000.0,311.4,7.3,35.6,224.0,6.7,0.84,191.0,57.5,120.0
2015-10-31,12033000.0,563.7724999999998,3.725,27.04,333.025,6.7,0.35350000000000004,51.7,19.1,150.0
2015-11-30,10462000.0,196.9,5.7,39.375,151.0,6.655,0.52,184.7,52.9,70.0
2015-12-31,122162799.99999985,290.4,7.4,42.63,204.0,7.0,1.45,99.5,18.6,90.0
2016-01-31,130000.0,267.4,4.855,36.55,126.5,6.4,0.64,130.2,88.04999999999998,100.0
2016-02-29,170000.0,105.70500000000001,3.2,29.35,106.475,6.8,0.402,51.35,12.4,100.0
2016-03-31,230000.0,504.9,9.305,55.75999999999999,262.3,6.9,0.7,69.8,20.6,86.5
2016-04-30,279499.99999999994,338.6333333333333,6.8,41.82,164.0,6.4,1.4349999999999998,80.3,28.8,100.0
2016-05-31,220000.0,378.7,7.2,54.15,256.0,7.1899999999999995,0.84,213.39999999999995,73.2,150.0
2016-06-30,41000.0,523.3,8.9,59.20924999999999,200.0,7.1,1.15,140.0,31.8,150.0
2016-07-31,27000.0,582.8574999999998,2.6500000000000004,24.1725,215.5,7.0,1.0,69.5,17.0,150.0
2016-08-31,13000.0,215.9,2.9,34.0,148.0,6.9,1.1,54.5,10.66,150.0
2016-09-30,7900.0,330.4,2.1325000000000003,50.575,190.0,7.0,0.42,185.5,52.9,150.0
2016-10-31,9400.0,267.6,6.32,26.85,132.0,6.7,0.63,93.3,59.9,150.0
2016-11-30,4900.0,212.5,4.1,35.23999999999999,188.0,7.0,0.74,107.5,37.5,150.0
2016-12-31,4180.0,139.5,5.2,35.4,144.0,6.6,1.3,72.3,11.2,150.0
2017-01-31,130000.0,232.63,3.0,21.34375,150.66666666666666,6.7,0.367,45.8,11.8,150.0
2017-02-28,340000.0,580.5,2.6,24.925,35.55,6.6,0.43,21.82,16.8,40.0
2017-03-31,460000.0,238.3,11.864999999999998,61.464,116.0,7.29,1.57,28.0,10.7,150.0
2017-04-30,330000.0,908.4199999999996,5.7650000000000015,55.70000000000001,136.0,6.699999999999998,1.9489999999999998,68.8,35.01,50.0
2017-05-31,390000.0,253.0,11.1,59.16,132.0,6.6,1.94,103.3,37.3,50.0
2017-06-30,1101999.9999999998,250.0,2.9,57.10000000000001,224.0,6.7,0.71,29.8,21.5,50.0
2017-07-31,790000.0,406.3,3.41,34.175,121.0,6.8,1.67,71.2,28.6,50.0
2017-08-31,700000.0,435.2,5.7,38.94000000000001,266.0,6.7,1.01,103.7,37.974999999999994,40.0
2017-09-30,940000.0,323.8,8.04,57.05,497.2999999999996,7.0,1.5,123.31999999999998,32.9,35.5
2017-10-31,121000.0,694.4,3.14,39.75,149.0,7.2,1.13,50.9,18.4,40.0
2017-11-30,170000.0,259.0,5.4,36.9,45.0,6.555,0.93,50.0,22.5,70.0
2017-12-31,940000.0,328.0,1.6460000000000001,21.4,130.0,6.6,0.97,26.5,10.385,90.0
2018-01-31,230000.0,51.0,1.846666666666667,8.8725,37.75,6.6,0.51,14.245000000000001,16.0,50.0
2018-02-28,330000.0,90.5,1.5,27.225,40.0,6.6,1.4,28.9,10.0,20.0
2018-03-31,220000.0,62.4,4.9,32.8,42.0,6.9,1.0,39.1,26.0,20.0
2018-04-30,540000.0,288.0,5.236499999999999,40.875,170.0,7.0,0.73,47.3,10.0,30.0
2018-05-31,490000.0,266.8,5.0,48.11999999999999,134.0,7.4,0.82,94.91999999999997,26.585,94.99999999999993
2018-06-30,2400000.0,180.8,1.275,28.275,179.0,7.4,0.5,69.1,21.7,30.0
2018-07-31,152000.0,258.8,3.1705,10.2,107.0,6.8,0.4685,40.0,10.0,20.0
2018-08-31,170000.0,53.0,3.8,32.72,70.0,6.6,1.6249999999999996,75.4,16.1,10.0
2018-09-30,8519999.99999999,345.01499999999993,4.2,32.95,148.0,6.7,1.14,78.9,19.9,7.75
2018-10-31,780000.0,45.690000000000005,4.0025,25.14,64.5,6.7,1.15,22.3,14.7,20.0
2018-11-30,1100000.0,171.6,5.535074999999999,24.325,108.5,7.1,1.11,36.0,12.6,20.0
